Name,Company,Type of industry,CO2 emissions [t],Type of source,Location (city),Provincia,latitude,longitude
Planta Ramallo,Loma Negra,Cement,,Industrial point source,Ramallo,Buenos Aires,-33.38022978,-60.15325117
F��?brica Catamarca,Loma Negra,Cement,1373823.529,Industrial point source,El Alto,Catamarca,-28.46620076,-65.21491434
F��?brica San Juan,Loma Negra,Cement,,Industrial point source,Rivadavia,San Juan,-31.54717154,-68.67430483
F��?brica Zapala,Loma Negra,Cement,305294.1176,Industrial point source,Zapala,Neusaqu?n,-38.89661841,-70.03773085
F��?brica LomaSer,Loma Negra,Cement,,Industrial point source,Vicente Casares,Buenos Aires,-34.95797683,-58.64295248
Planta Holcim Capdeville Mendoza,HOLCIM,Cement,534264.7059,Industrial point source,Las Heras,Mendoza,-32.7406102,-68.83721964
Planta Holcim Malague��?o,HOLCIM,Cement,2366029.412,Industrial point source,Malague��?o,C��?rdoba,-31.47714495,-64.35835512
Planta Holcim Puesto Viejo,HOLCIM,Cement,763235.2941,Industrial point source,Puesto Viejo,Jujuy,-24.49038325,-64.9570812
Planta Holcim Campana,HOLCIM,Cement,,Industrial point source,Campana,Buenos Aires,-34.14560719,-59.02034634
Planta Campana,Cementos Avellaneda,Cement,,Industrial point source,Campana,Buenos Aires,-34.16978546,-59.00184583
San Jacinto,Cementos Avellaneda,Cement,1831764.706,Industrial point source,Olavarr��?a,Buenos Aires,,
El Grande,Cementos Avellaneda,Cement,839558.8235,Industrial point source,La Calera,San Luis,,
F��?brica Comodoro Rivadavia,PCR,Cement,,Industrial point source,Comodoro Rivadavia,Chubut,-45.80214455,-67.4236816
F��?brica Pico Truncado,PCR,Cement,457941.1765,Industrial point source,Pico Truncado,Santa Cruz,-46.78713825,-67.92954422
Planta sider��?rgica Ternium Siderar,Ternium Argentina S.A.,Steel,5286272,Industrial point source,Ramallo/San Nicolas,Buenos Aires,-33.32260493,-60.15945416
,Ternium Argentina S.A.,Steel,,Industrial point source,Ensenada,Buenos Aires,-34.80606584,-57.92924997
,Ternium Argentina S.A.,Steel,,Industrial point source,Haedo,Buenos Aires,-34.58262707,-58.63146321
,Ternium Argentina S.A.,Steel,,Industrial point source,Canning,Buenos Aires,-34.79942658,-58.51610678
,Ternium Argentina S.A.,Steel,,Industrial point source,Florencio Varela,Buenos Aires,-34.72722318,-58.18102379
,Ternium Argentina S.A.,Steel,,Industrial point source,Rosario,Santa Fe,-32.88917097,-60.70918231
Planta sider��?rgica TenarisSiderca,Ternaris S.A. / Siderca S.A.I.C.,Steel,650000,Industrial point source,Campana,Buenos Aires,-34.152554,-58.977388
,Ternaris S.A. / Siderca S.A.I.C.,Steel,,Industrial point source,Valentin Alsina,Buenos Aires,-34.66288154,-58.40681255
,Ternaris S.A. / Siderca S.A.I.C.,Steel,,Industrial point source,Villa Constituci��?n,Santa Fe,-33.23981167,-60.31761739
,Ternaris S.A. / Siderca S.A.I.C.,Steel,,Industrial point source,Villa Mercedes,San Luis,-34.69235624,-58.54186997
Planta sider��?rgia ArcelorMittal Acindar,Acindar Industria Argentina de Aceros S.A.,Steel,1015000,Industrial point source,Villa Constituci��?n,Santa Fe,-33.256309,-60.292472
,Acindar Industria Argentina de Aceros S.A.,Steel,,Industrial point source,Rosario,Santa Fe,-32.97077123,-60.72206377
,Acindar Industria Argentina de Aceros S.A.,Steel,,Industrial point source,La Tablada,Buenos Aires,,
,Acindar Industria Argentina de Aceros S.A.,Steel,,Industrial point source,San Nicolas,Buenos Aires,-33.34700797,-60.25863236
,Acindar Industria Argentina de Aceros S.A.,Steel,,Industrial point source,Villa Mercedes,San Luis,-33.72087734,-65.46444205
Planta Siderurgica ACERBRAG,Acerbrag S.A. (grupo brasile��?o Votorantim),Steel,,Industrial point source,Bragado,Buenos Aires,-35.13711789,-60.4520892
Aceros Zapla,Aceros Zapla S.A.,Steel,,Industrial point source,Palpal��?,Jujuy,-24.2460988,-65.19816083
Planta sider��?rgica Gerdau Sipar P?rez,Gerdau SA,Steel,103031,Industrial point source,P?rez,Santa Fe,-32.9912336,-60.7588733
ALUAR SA - GENERADOR,Aluar,Thermal power plant,210445,Industrial point source,Puerto Madryn,Chubut,-42.7438848,-65.04839927
ARCOR MARIO SEVESO ARROYITO,,Thermal power plant,93267,Industrial point source,,C��?rdoba,,
C. TERMICAS MENDOZA PLUS,,Thermal power plant,788702,Industrial point source,,Mendoza,,
C. TERMICAS MENDOZA SA,,Thermal power plant,297745,Industrial point source,,Mendoza,,
C.COSTA ATLANTICA,,Thermal power plant,509899,Industrial point source,,Buenos Aires,,
C.T. AES PARANA,,Thermal power plant,1717893,Industrial point source,,Buenos Aires,,
C.T. AGUA DEL CAJON,,Thermal power plant,1108638,Industrial point source,Neuqu?n,Neuqu?n,-38.93531878,-68.35746075
C.T. ALMIRANTE BROWN,Excell Power S.R.L.,Thermal power plant,7094,Industrial point source,Burazco,Buenos Aires,-34.83766034,-58.40568505
C.T. LOMA DE LA LATA S.A.,C.T. LOMA DE LA LATA S.A.,Thermal power plant,1779653,Industrial point source,Neuqu?n,Neuqu?n,-38.51178974,-68.60637825
C.T. PATAGONICAS SA,CENTRALES TERMICAS PATAGONICAS S.A.,Thermal power plant,27712,Industrial point source,Comodoro Rivadavia,Chubut,-45.81390612,-67.44427712
C.T. SALTA (TERMOANDES),AES,Thermal power plant,1004183,Industrial point source,Cobos,Salta,-24.74271171,-65.05151496
C.TERMICA ALTO VALLE,,Thermal power plant,198282,Industrial point source,Neuqu?n,Neuqu?n,-38.95161594,-68.02174487
C.TERMICA GUEMES S.A.,,Thermal power plant,139062,Industrial point source,,Salta,,
C.TERMICA SAN NICOLAS,AES,Thermal power plant,2158549,Industrial point source,San Nicol��?s de Los Arroyos,Buenos Aires,-33.35809074,-60.17476179
C.TERMICA SORRENTO,,Thermal power plant,20821,Industrial point source,,Santa Fe,,
CAPEX S.A. AUTOGENERADOR,,Thermal power plant,1075683,Industrial point source,,Neuqu?n,,
CENTRAL DIQUE S.A.,CENTRAL DIQUE S.A.,Thermal power plant,478,Industrial point source,Ensenada,Buenos Aires,-34.88987358,-57.93335436
CENTRAL DOCK SUD,Central Dock Sud,Thermal power plant,2101890,Industrial point source,Dock Sud,Buenos Aires,-34.65327861,-58.34352059
CENTRAL PIEDRA BUENA S.A.,Pampa Energ��?a,Thermal power plant,243763,Industrial point source,Ingeniero White,Buenos Aires,-38.78482523,-62.25607271
CENTRAL PUERTO SA,Central Puerto S.A.,Thermal power plant,3481800,Industrial point source,Luj��?n de Cuyo,Mendoza,-33.05433167,-68.98071723
CENTRAL T��?RMICA LOMITA AUTOG.,,Thermal power plant,59300,Industrial point source,,Neuqu?n,,
CENTRAL TERMICA PIQUIRENDA,Pampa Energ��?a,Thermal power plant,25963,Industrial point source,Piquirenda,Salta,-22.35004604,-63.76700533
COOP. MNO. MORENO BS. AS.GENER,,Thermal power plant,668,Industrial point source,,Buenos Aires,,
CT 9 de JULIO C Cost ATLANTICA,Centrales de la Costa Atl��?ntica S.A.,Thermal power plant,221258,Industrial point source,Mar del Plata,Buenos Aires,-38.04949391,-57.54553583
CT ACONCAGUA ENERG��?A AUTOGENER,,Thermal power plant,17,Industrial point source,,Mendoza,,
CT ALEM - AGGREKO,,Thermal power plant,35577,Industrial point source,,Misiones,,
CT ANCHORIS - METHAX,EMESA,Thermal power plant,50825,Industrial point source,Tupungato,Mendoza,-33.3133564,-68.89151146
CT A��?ATUYA - SULLAIR,,Thermal power plant,11557,Industrial point source,A��?atuya,Santiago del Estero,-28.44584131,-62.85560319
CT A��?ATUYA II - SULLAIR,,Thermal power plant,4840,Industrial point source,A��?atuya,Santiago del Estero,-28.44584131,-62.85560319
CT ARISTOBU.DEL VALLE-SOENERGY,,Thermal power plant,24495,Industrial point source,Arist��?bulo del Valle,Misiones,-27.09123769,-54.86344241
CT ARRECIFES-AGGREKO,,Thermal power plant,8081,Industrial point source,,Buenos Aires,,
CT BANDERA SgoEstero - ENARSA,,Thermal power plant,4539,Industrial point source,,Santiago del Estero,,
CT BARILOCHE,,Thermal power plant,1392,Industrial point source,,R��?o Negro,,
CT BARKER CIERRE CC,,Thermal power plant,636102,Industrial point source,Benito Ju��?rez,Buenos Aires,-37.54858826,-59.4506657
CT BARRAGAN - ENARSA,ENARSA,Thermal power plant,319657,Industrial point source,Ensenada,Buenos Aires,-34.85965751,-57.95577403
CT BARRANQUERAS Chaco,,Thermal power plant,3373,Industrial point source,,Chaco,,
CT BELL VILLE - SULLAIR,SULLAIR ARGENTINA S.A.,Thermal power plant,6459,Industrial point source,Bell Ville,C��?rdoba,-32.61039562,-62.68583225
CT BRACHO CIERRE CC- Y-GEN S.A,,Thermal power plant,1242878,Industrial point source,,Tucum��?n,,
CT BRAGADO - EMGASUD,,Thermal power plant,7559,Industrial point source,,Buenos Aires,,
CT BRAGADO 2 - GENNEIA,Genneia,Thermal power plant,79138,Industrial point source,Bragado,Buenos Aires,-35.13651396,-60.43241426
CT BRAGADO 3 - GENNEIA,Genneia,Thermal power plant,92453,Industrial point source,Bragado,Buenos Aires,-35.13651396,-60.43241426
CT BRIGADIER LOPEZ,Central Puerto S.A.,Thermal power plant,64572,Industrial point source,Santa Fe,Santa Fe,-31.71284154,-60.77930021
CT CAIMANCITO -SULLAIR,,Thermal power plant,62571,Industrial point source,Libertador Gral San Mart��?n,Jujuy,-23.73226891,-64.61399317
CT CA��?ADA DE GOMEZ - SECCO,Secco,Thermal power plant,105744,Industrial point source,Ca��?ada de G��?mez,Santa Fe,-32.78187222,-61.41843352
CT CAPITAN SARMIENTO - SECCO,Secco,Thermal power plant,10205,Industrial point source,,Buenos Aires,,
CT CASTELLI - AGGREKO,,Thermal power plant,9440,Industrial point source,,Chaco,,
CT CATAMARCA - SECCO,,Thermal power plant,10013,Industrial point source,,Catamarca,,
CT CERES - SECCO,,Thermal power plant,3924,Industrial point source,,Santa Fe,,
CT CHARATA - SULLAIR,,Thermal power plant,7334,Industrial point source,,Chaco,,
CT CHILECITO - SECCO,Secco,Thermal power plant,4810,Industrial point source,Chilecito,La Rioja,-29.15733701,-67.50746666
CT CIPOLLETI - AGGREKO,,Thermal power plant,501,Industrial point source,,R��?o Negro,,
CT COLON BS.AS - SULLAIR,,Thermal power plant,5222,Industrial point source,Col��?n,Buenos Aires,-33.73201213,-61.09709894
CT CORRIENTES - AGGREKO,,Thermal power plant,7204,Industrial point source,,Corrientes,,
CT EZEIZA ETAPA1 G MEDITERRANE,,Thermal power plant,56618,Industrial point source,Carlos Spegazzini,Buenos Aires,-34.90274362,-58.61692333
CT EZEIZA ETAPA2 G MEDITERRANE,,Thermal power plant,32456,Industrial point source,Carlos Spegazzini,Buenos Aires,-34.90274362,-58.61692333
CT FORMOSA - APR ENERGY,,Thermal power plant,5006,Industrial point source,,Formosa,,
CT GENERAL ROJO CIERRE CC,,Thermal power plant,619957,Industrial point source,San Nicol��?s de Los Arroyos,Buenos Aires,-33.45541478,-60.28090222
CT GOYA - SECCO,,Thermal power plant,4754,Industrial point source,Goya,Corrientes,-29.15821641,-59.27345715
CT GRAL. VILLEGAS - AGGREKO,,Thermal power plant,14209,Industrial point source,,Buenos Aires,,
CT INDEPEND. ETAPA1 G MEDITERR,Grupo Albanesi,Thermal power plant,10088,Industrial point source,San Miguel de Tucum��?n,Tucum��?n,-26.866966,-65.22182861
CT INDEPEND. ETAPA2 G MEDITERR,Grupo Albanesi,Thermal power plant,9463,Industrial point source,San Miguel de Tucum��?n,Tucum��?n,-26.866966,-65.22182861
CT ING JUAREZ - SECCO,,Thermal power plant,2692,Industrial point source,Ingeniero Ju��?rez,Formosa,-23.90901687,-61.83150245
CT INTA CATAMARCA - SECCO,,Thermal power plant,3559,Industrial point source,,Catamarca,,
CT ISLA VERDE - AGGREKO,,Thermal power plant,7670,Industrial point source,,C��?rdoba,,
CT ITATI - TURBODISEL,,Thermal power plant,1498,Industrial point source,,Corrientes,,
CT JUNIN,,Thermal power plant,14479,Industrial point source,,Buenos Aires,,
CT LA PAZ Entre Rios - ENARSA,,Thermal power plant,2674,Industrial point source,,Entre R��?os,,
CT LA PLATA - SULLAIR,,Thermal power plant,14048,Industrial point source,San Carlos,Buenos Aires,-34.9338664,-58.01640058
CT LA RIOJA - SECCO,,Thermal power plant,7688,Industrial point source,,La Rioja,,
CT LA RIOJA SUR- SECCO,,Thermal power plant,3506,Industrial point source,,La Rioja,,
CT LAGUNA BLANCA - SECCO,,Thermal power plant,4457,Industrial point source,Laguna Blanca,Formosa,-25.12695055,-58.25915073
CT LAS ARMAS II - EMGASUD,,Thermal power plant,606,Industrial point source,,#NV,,
CT LAS PALMAS 2 - ARAUCARIA,,Thermal power plant,100667,Industrial point source,,Buenos Aires,,
CT LAS PALMAS -TURBODISEL,,Thermal power plant,543,Industrial point source,,Chaco,,
CT LIBERTADOR GSM - SULLAIR,,Thermal power plant,3331,Industrial point source,,Jujuy,,
CT LINCOLN,,Thermal power plant,5898,Industrial point source,Lincoln,Buenos Aires,-34.85716731,-61.52070383
CT LOBOS BS.AS - SULLAIR,,Thermal power plant,23328,Industrial point source,,Buenos Aires,,
CT LOMA CAMPANA 1 -YPF,,Thermal power plant,93992,Industrial point source,,Neuqu?n,,
CT LOMA CAMPANA 2 -Y-GEN ELECT,,Thermal power plant,164946,Industrial point source,,Neuqu?n,,
CT LOMA DE LA LATA II(NEUQEUN),,Thermal power plant,228867,Industrial point source,,Neuqu?n,,
CT LUJAN II - ARAUCARIA ENERGY,,Thermal power plant,68363,Industrial point source,,Buenos Aires,,
CT MAGDALENA - APR ENERGY,,Thermal power plant,4433,Industrial point source,,Buenos Aires,,
CT MATHEU II - APR ENERGY,,Thermal power plant,1875,Industrial point source,,Buenos Aires,,
CT MIRAMAR I - ENERGYST,,Thermal power plant,23587,Industrial point source,,Buenos Aires,,
CT ORAN - SECCO,,Thermal power plant,3717,Industrial point source,,Salta,,
CT PARQUE INDUSTR.CATAM-SECCO,,Thermal power plant,8843,Industrial point source,,Catamarca,,
CT PASO LA PATRIA-TURBODISEL,,Thermal power plant,1189,Industrial point source,,Corrientes,,
CT PEREZ - SECCO,,Thermal power plant,109776,Industrial point source,,Santa Fe,,
CT PIEDRABUENA MG(L.LATA),,Thermal power plant,173945,Industrial point source,,Buenos Aires,,
CT PILAR - EPEC,,Thermal power plant,1055603,Industrial point source,,C��?rdoba,,
CT PILAR BS AS- PAMPA ENERG��?A,,Thermal power plant,187528,Industrial point source,,Buenos Aires,,
CT PIRANE - SULLAIR,,Thermal power plant,10675,Industrial point source,,Formosa,,
CT PRESIDENCIA ROCA,,Thermal power plant,1276,Industrial point source,,Chaco,,
CT RAFAELA - SECCO,,Thermal power plant,7300,Industrial point source,,Santa Fe,,
CT REALICO - SECCO,,Thermal power plant,6721,Industrial point source,,La Pampa,,
CT RENOVA - ALBANESI ENERGIA,,Thermal power plant,457321,Industrial point source,,Santa Fe,,
CT RIO TERCERO II - SoENERGY,,Thermal power plant,30138,Industrial point source,,C��?rdoba,,
CT ROCA SA,,Thermal power plant,502028,Industrial point source,,R��?o Negro,,
CT RUFINO Sta Fe - ENARSA,,Thermal power plant,8965,Industrial point source,,Santa Fe,,
CT SAENZ PE��?A - APR ENERGY,,Thermal power plant,3654,Industrial point source,,Chaco,,
CT SAENZ PE��?A II- AGGREKO,,Thermal power plant,4626,Industrial point source,,Chaco,,
CT SALTO 2 - SoENERGY,,Thermal power plant,103648,Industrial point source,,Buenos Aires,,
CT SAN MARTIN Chaco,,Thermal power plant,1320,Industrial point source,,Chaco,,
CT SAN PEDRO - CIERRE CC,,Thermal power plant,33804,Industrial point source,,Buenos Aires,,
CT SAN PEDRO - SPI ENERGY SA,,Thermal power plant,46087,Industrial point source,,Buenos Aires,,
CT SAN SALVADOR E.Rios -ENARSA,,Thermal power plant,1815,Industrial point source,,Entre R��?os,,
CT SAN VICENTE BsAs - ENARSA,,Thermal power plant,4595,Industrial point source,,Buenos Aires,,
CT SANTA ROSA -TURBODISEL,,Thermal power plant,1988,Industrial point source,,Corrientes,,
CT TEREVINTOS - SECCO,,Thermal power plant,2652,Industrial point source,,Catamarca,,
CT TINOGASTA - SULLAIR,,Thermal power plant,4169,Industrial point source,,Catamarca,,
CT VENADO TUERTO - SECCO,,Thermal power plant,7617,Industrial point source,,Santa Fe,,
CT VIALE - AGGREKO,,Thermal power plant,4529,Industrial point source,,Entre R��?os,,
CT VILLA ANGELA - AGGREKO,,Thermal power plant,4977,Industrial point source,,Chaco,,
CT VILLA GESELL-CATLANT.,,Thermal power plant,333196,Industrial point source,,Buenos Aires,,
CT VILLA MARIA CIERRE CC-UENSA,,Thermal power plant,630749,Industrial point source,,C��?rdoba,,
CT VILLA OCAMPO - SECCO,,Thermal power plant,32945,Industrial point source,,Santa Fe,,
CT VUELTA DE OBLIGADO,,Thermal power plant,1829953,Industrial point source,,Santa Fe,,
CT ZAPPALORTO - APR ENERGY,,Thermal power plant,15249,Industrial point source,,Buenos Aires,,
EDECAT GENERACION,,Thermal power plant,397,Industrial point source,,Catamarca,,
EDELAR GENERACION,,Thermal power plant,18733,Industrial point source,,La Rioja,,
EDEN GENERACION,,Thermal power plant,1627,Industrial point source,,Buenos Aires,,
ELECTROPATAGONIA-C.RIV-C.COMB.,,Thermal power plant,15137,Industrial point source,,Chubut,,
EMP.DIS.S.ESTERO GENERACION,,Thermal power plant,4901,Industrial point source,,Santiago del Estero,,
EMSA GENERACION,,Thermal power plant,10472,Industrial point source,,Misiones,,
ENDESA COSTANERA SA,,Thermal power plant,2518331,Industrial point source,,Buenos Aires,,
ENERGIA DEL SUR S.A.,,Thermal power plant,226761,Industrial point source,,Chubut,,
EPEC GENERACION,,Thermal power plant,15814,Industrial point source,,C��?rdoba,,
GEN.MEDITERRANEA (CONT.PLUS),,Thermal power plant,36744,Industrial point source,,C��?rdoba,,
GEN.MEDITERRANEA GRUPO 5,,Thermal power plant,27675,Industrial point source,,C��?rdoba,,
GENELBA - PETROBRAS,,Thermal power plant,1898589,Industrial point source,,Buenos Aires,,
GENELBA - RES.287,,Thermal power plant,1396334,Industrial point source,,Buenos Aires,,
GENERACION FRIAS S.A.,,Thermal power plant,15755,Industrial point source,,Santiago del Estero,,
GENERACION INDEPENDENCIA S.A.,,Thermal power plant,28961,Industrial point source,,Tucum��?n,,
GENERACION LA BANDA S.A.,,Thermal power plant,2514,Industrial point source,,Santiago del Estero,,
GENERACION MEDITERRANEA,,Thermal power plant,6470,Industrial point source,,C��?rdoba,,
GENERACION MEDITERRANEA 220,,Thermal power plant,31381,Industrial point source,,C��?rdoba,,
GENERACION RIOJANA SA,,Thermal power plant,13132,Industrial point source,,La Rioja,,
GENERADORA CORDOBA S.A.,,Thermal power plant,1537,Industrial point source,,C��?rdoba,,
GENERADORA ELEC.TUCUMAN SA,,Thermal power plant,9198,Industrial point source,,Tucum��?n,,
HIDROTERMICA SAN JUAN,,Thermal power plant,6068,Industrial point source,,San Juan,,
LA PLATA COGENERACION SA,,Thermal power plant,339665,Industrial point source,,Buenos Aires,,
LEDESMA SAAI,,Thermal power plant,7544,Industrial point source,,Jujuy,,
LUJAN DE CUYO COGENERAC.PUERTO,,Thermal power plant,265976,Industrial point source,,Mendoza,,
MOLINOS AGRO AG.(Ex.Mol Rio P),,Thermal power plant,222,Industrial point source,,Santa Fe,,
MOTOGENERADORES COSTANERA,,Thermal power plant,47985,Industrial point source,,Buenos Aires,,
NIDERA SAFORCADA-Junin,,Thermal power plant,20,Industrial point source,,Buenos Aires,,
PAMPA ENERGIA SA,,Thermal power plant,78724,Industrial point source,,Salta,,
REFINERIA LA PLATA AUTOG,,Thermal power plant,10998,Industrial point source,,Buenos Aires,,
SHELL CAPSA PTA. DOCK SUD,,Thermal power plant,25501,Industrial point source,,Buenos Aires,,
SIDERAR PTA. IND. SAN NICOLAS,,Thermal power plant,31,Industrial point source,,Buenos Aires,,
SINOPEC Arg. - El Huemul,,Thermal power plant,29407,Industrial point source,,Santa Cruz,,
SINOPEC Arg. - Meseta Espinosa,,Thermal power plant,13683,Industrial point source,,Santa Cruz,,
SOLALBAN ENERGIA SA,,Thermal power plant,42405,Industrial point source,,Buenos Aires,,
TERMINAL 6 COGENERACION PUERTO,,Thermal power plant,209988,Industrial point source,,Santa Fe,,
TERMOELE. JOSE SAN MARTIN S.A,,Thermal power plant,2045982,Industrial point source,,Santa Fe,,
TERMOELECTRICA GUILLERMO BROWN,,Thermal power plant,1021465,Industrial point source,,Buenos Aires,,
TERMOELECTRICA M.BELGRANO S.A.,,Thermal power plant,2150020,Industrial point source,,Buenos Aires,,
YAC.ENTRE LOMAS AUTOGENERADOR,,Thermal power plant,27680,Industrial point source,,R��?o Negro,,
YPF Autogenerador Pza. Huincul,,Thermal power plant,161867,Industrial point source,,Neuqu?n,,
YPF CT MANANTIALES BEHR II AG,,Thermal power plant,8767,Industrial point source,,Chubut,,
YPF EL TREBOL CT MANANT. BEHR,,Thermal power plant,6,Industrial point source,,Chubut,,
YPF ENERG��?A ELECTR.ex PLUSPETG,,Thermal power plant,1400041,Industrial point source,,Tucum��?n,,
YPF LA PLATA COGENERACION,,Thermal power plant,228277,Industrial point source,,Buenos Aires,,
YPF LOS PERALES AUTOG,,Thermal power plant,68352,Industrial point source,,Santa Cruz,,
YPF YAC P.HERNANDEZ AUTOG,,Thermal power plant,26,Industrial point source,,Neuqu?n,,
BIOGAS CT AVELLANEDA SECCO,,Biogas Power Plant,41391,Biogenic point source,,SANTA FE,,
CENTRAL BIOELECTRICA R.CUARTO1,,Biogas Power Plant,13140,Biogenic point source,,CORDOBA,,
C.BIOELECT.R.CUARTO1 REN2,,Biogas Power Plant,10249.2,Biogenic point source,,CORDOBA,,
C.BIOELECT.R.CUARTO2 REN1,,Biogas Power Plant,7884,Biogenic point source,,CORDOBA,,
C.BIOELECT.R.CUARTO2 REN2,,Biogas Power Plant,7884,Biogenic point source,,CORDOBA,,
BIOGAS CTBG CITRUSVIL-ALCOVIL,,Biogas Power Plant,19710,Biogenic point source,,TUCUMAN,,
BIOGAS RS CT ENSENADA SECCO,,Biogas Power Plant,34821,Biogenic point source,,BUENOS AIRES,,
CTBG GENERAL ALVEAR,,Biogas Power Plant,6570,Biogenic point source,,BUENOS AIRES,,
BIOGAS CTBG GIGENA I,,Biogas Power Plant,7884,Biogenic point source,,CORDOBA,,
BIOGAS CTBG JUSTO DARACT,,Biogas Power Plant,6570,Biogenic point source,,SAN LUIS,,
BIOGAS CTBG PACUCA BIO ENERG��?A,,Biogas Power Plant,6570,Biogenic point source,,BUENOS AIRES,,
BIOGAS CTBG PERGAMINO,,Biogas Power Plant,15768,Biogenic point source,,BUENOS AIRES,,
